GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1041500101,66,201499,Candice Wiggins,1611661313,New York Liberty,1,2,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,23,-171,160,1,0,20150918,NYL,WAS,2015,104150010166,4260,validated,,0,matched,playbyplayv2,1611661322,201499|201502|202250|202259|202670,complete,playbyplay_inferred,100874|201048|201506|203401|203828,complete,playbyplay_inferred
Shot Chart Detail,1041500202,304,201499,Candice Wiggins,1611661313,New York Liberty,4,8,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,141,213,1,0,20150927,IND,NYL,2015,1041500202304,18880,validated,,0,matched,playbyplayv2,1611661325,201499|201502|202250|202259|202670,complete,playbyplay_inferred,100646|201889|201919|203018|203041,complete,playbyplay_inferred
Shot Chart Detail,1041500203,124,201499,Candice Wiggins,1611661313,New York Liberty,2,8,41,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,22,-131,187,1,1,20150929,NYL,IND,2015,1041500203124,6790,validated,203411,1,matched,playbyplayv2,1611661325,201499|201502|202250|203411|204329,complete,playbyplay_inferred,100646|201503|201889|201919|203406,complete,playbyplay_inferred
Shot Chart Detail,1041500203,288,201499,Candice Wiggins,1611661313,New York Liberty,3,1,17,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,22,-111,197,1,0,20150929,NYL,IND,2015,1041500203288,17230,validated,,0,matched,playbyplayv2,1611661325,201499|201502|202250|202259|204329,complete,playbyplay_inferred,201503|201889|201896|201919|203041,complete,playbyplay_inferred
Shot Chart Detail,1041500203,293,201499,Candice Wiggins,1611661313,New York Liberty,3,0,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,129,211,1,1,20150929,NYL,IND,2015,1041500203293,17720,validated,202259,1,matched,playbyplayv2,1611661325,201499|201502|202250|202259|204329,complete,playbyplay_inferred,201503|201889|201896|201919|203041,complete,playbyplay_inferred
Shot Chart Detail,1041500203,302,201499,Candice Wiggins,1611661313,New York Liberty,4,9,44,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,100,156,1,0,20150929,NYL,IND,2015,1041500203302,18160,validated,,0,matched,playbyplayv2,1611661325,201499|201502|202250|203411|204329,complete,playbyplay_inferred,100646|201503|201889|201919|203018,complete,playbyplay_inferred
Shot Chart Detail,1041500203,306,201499,Candice Wiggins,1611661313,New York Liberty,4,9,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,23,91,217,1,1,20150929,NYL,IND,2015,1041500203306,18540,validated,201502,1,matched,playbyplayv2,1611661325,201499|201502|202250|203411|204329,complete,playbyplay_inferred,100646|201503|201896|201919|203018,complete,playbyplay_inferred
Shot Chart Detail,1041500203,311,201499,Candice Wiggins,1611661313,New York Liberty,4,8,21,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,19,1,1,20150929,NYL,IND,2015,1041500203311,18990,validated,,0,matched,playbyplayv2,1611661325,201499|201502|202250|202259|204329,complete,playbyplay_inferred,100646|201503|201896|201919|203018,complete,playbyplay_inferred
Shot Chart Detail,1041500203,336,201499,Candice Wiggins,1611661313,New York Liberty,4,6,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,23,92,214,1,0,20150929,NYL,IND,2015,1041500203336,20140,validated,,0,matched,playbyplayv2,1611661325,101030|201499|202250|202259|204329,complete,playbyplay_inferred,100646|201503|201889|201896|203018,complete,playbyplay_inferred
Shot Chart Detail,1041500203,338,201499,Candice Wiggins,1611661313,New York Liberty,4,6,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,111,239,1,0,20150929,NYL,IND,2015,1041500203338,20200,validated,,0,matched,playbyplayv2,1611661325,101030|201499|202250|202259|204329,complete,playbyplay_inferred,100646|201503|201889|201896|203018,complete,playbyplay_inferred
Shot Chart Detail,1041500203,385,201499,Candice Wiggins,1611661313,New York Liberty,4,1,1,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,9,1,1,20150929,NYL,IND,2015,1041500203385,23390,validated,,0,matched,playbyplayv2,1611661325,201499|202250|202259|203411|204329,complete,playbyplay_inferred,100646|201503|201889|201896|203018,complete,playbyplay_inferred
Shot Chart Detail,1041500203,399,201499,Candice Wiggins,1611661313,New York Liberty,4,0,22,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,9,1,0,20150929,NYL,IND,2015,1041500203399,23780,validated,,0,matched,playbyplayv2,1611661325,201499|203069|203411|204329|204365,complete,playbyplay_inferred,202656|203041|203406|203827|203843,complete,playbyplay_inferred
