GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1041700111,98,200673,Monique Currie,1611661317,Phoenix Mercury,1,0,24,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-132,129,1,0,20170906,PHO,SEA,2017,104170011198,5760,validated,,0,matched,playbyplayv2,1611661328,200673|202658|203398|203855|1628242,complete,playbyplay_inferred,100720|202670|204321|1627668|1628244,complete,playbyplay_inferred
Shot Chart Detail,1041700201,425,200673,Monique Currie,1611661317,Phoenix Mercury,4,2,31,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-119,218,1,1,20170910,CON,PHO,2017,1041700201425,22490,validated,100940,1,matched,playbyplayv2,1611661323,100940|200673|201067|201507|203398,complete,playbyplay_inferred,202662|203015|203410|203826|1627673,complete,playbyplay_inferred
Shot Chart Detail,1041700201,432,200673,Monique Currie,1611661317,Phoenix Mercury,4,1,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,156,198,1,0,20170910,CON,PHO,2017,1041700201432,22860,validated,,0,matched,playbyplayv2,1611661323,100940|200673|201067|201507|203398,complete,playbyplay_inferred,202662|203015|203410|203826|1627673,complete,playbyplay_inferred
Shot Chart Detail,1041700311,98,200673,Monique Currie,1611661317,Phoenix Mercury,1,0,42,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-140,134,1,0,20170912,LAS,PHO,2017,104170031198,5580,validated,,0,matched,playbyplayv2,1611661320,100940|200673|202658|203398|1628242,complete,playbyplay_inferred,100949|201496|201502|202650|203833,complete,playbyplay_inferred
Shot Chart Detail,1041700311,199,200673,Monique Currie,1611661317,Phoenix Mercury,2,2,23,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-37,174,1,0,20170912,LAS,PHO,2017,1041700311199,10570,validated,,0,matched,playbyplayv2,1611661320,200673|201067|201507|203389|203398,complete,playbyplay_inferred,201496|201502|203014|203824|203833,complete,playbyplay_inferred
Shot Chart Detail,1041700311,207,200673,Monique Currie,1611661317,Phoenix Mercury,2,0,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,117,218,1,1,20170912,LAS,PHO,2017,1041700311207,11530,validated,201067,1,matched,playbyplayv2,1611661320,200673|201067|201507|203389|203398,complete,playbyplay_inferred,201496|201502|203014|203824|203833,complete,playbyplay_inferred
Shot Chart Detail,1041700311,315,200673,Monique Currie,1611661317,Phoenix Mercury,3,2,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,84,159,1,0,20170912,LAS,PHO,2017,1041700311315,16700,validated,,0,matched,playbyplayv2,1611661320,200673|201507|202658|203398|1628242,complete,playbyplay_inferred,100949|201502|202650|203014|203824,complete,playbyplay_inferred
Shot Chart Detail,1041700311,360,200673,Monique Currie,1611661317,Phoenix Mercury,4,8,18,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,21,1,0,20170912,LAS,PHO,2017,1041700311360,19020,validated,,0,matched,playbyplayv2,1611661320,100940|200673|201507|203398|1628242,complete,playbyplay_inferred,100949|201496|203014|203824|203833,complete,playbyplay_inferred
Shot Chart Detail,1041700311,362,200673,Monique Currie,1611661317,Phoenix Mercury,4,8,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side(L),24+ ft.,23,-232,43,1,1,20170912,LAS,PHO,2017,1041700311362,19090,validated,201507,1,matched,playbyplayv2,1611661320,100940|200673|201507|203398|1628242,complete,playbyplay_inferred,100949|201496|203014|203824|203833,complete,playbyplay_inferred
Shot Chart Detail,1041700311,375,200673,Monique Currie,1611661317,Phoenix Mercury,4,6,44,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,11,1,0,20170912,LAS,PHO,2017,1041700311375,19960,validated,,0,matched,playbyplayv2,1611661320,100940|200673|201067|201507|1628242,complete,playbyplay_inferred,100949|201496|203014|203824|203833,complete,playbyplay_inferred
Shot Chart Detail,1041700312,115,200673,Monique Currie,1611661317,Phoenix Mercury,1,0,45,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-135,124,1,0,20170914,LAS,PHO,2017,1041700312115,5550,validated,,0,matched,playbyplayv2,1611661320,200673|201507|202658|203398|1628242,complete,playbyplay_inferred,201496|201502|202650|203029|203824,complete,playbyplay_inferred
Shot Chart Detail,1041700312,170,200673,Monique Currie,1611661317,Phoenix Mercury,2,6,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,22,-115,198,1,0,20170914,LAS,PHO,2017,1041700312170,7940,validated,,0,matched,playbyplayv2,1611661320,100940|200673|201067|201507|203398,complete,playbyplay_inferred,100949|201496|203014|203824|203833,complete,playbyplay_inferred
Shot Chart Detail,1041700312,308,200673,Monique Currie,1611661317,Phoenix Mercury,3,3,58,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,2,1,0,20170914,LAS,PHO,2017,1041700312308,15620,validated,,0,matched,playbyplayv2,1611661320,100940|200673|201507|202657|203398,complete,playbyplay_inferred,201496|201502|203014|203824|203833,complete,playbyplay_inferred
Shot Chart Detail,1041700313,115,200673,Monique Currie,1611661317,Phoenix Mercury,2,8,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-151,190,1,1,20170917,PHO,LAS,2017,1041700313115,7040,validated,202658,1,matched,playbyplayv2,1611661320,100940|200673|202657|202658|203398,complete,playbyplay_inferred,201502|202650|203014|203824|203833,complete,playbyplay_inferred
Shot Chart Detail,1041700313,271,200673,Monique Currie,1611661317,Phoenix Mercury,3,1,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),16-24 ft.,23,60,223,1,0,20170917,PHO,LAS,2017,1041700313271,17250,validated,,0,matched,playbyplayv2,1611661320,200673|201067|201507|203398|203855,complete,playbyplay_inferred,201496|201502|202650|203824|203833,complete,playbyplay_inferred
